 개미네 집 주소는?| 허리도 가늘군 만지면 부러지리.
일본인이 토끼를 주둥이를 보고하는 말?|코Y네
개구리가 낙지를 먹어버리면 무엇이 될까?|개구락지
'방자가 향단이를 사랑하는 마음'을 3자로?|방향성
마리 앙투아네트가 싼 똥은?|루이 비 똥
호랑이에게 덤벼드는 용감한 개 이름은?|하룻강아지
슈퍼맨이 팔짱을 끼고 다니는 이유는?|주머니가 없어서
마징가 Z의 무기는?|낫(낫 하나면 모두 모두 벌벌벌 떠네)
행진할 때 어떤 발을 먼저 내밀까?|앞발
말과 소가 햄버거 가게를 차리면?|소말리아
개들이 밤에 헤어질 때 하는 인사?|잘 자 개꿈꿔
앞을 못 보는 사람은 시각장애인, 그럼 뒤를 못 보는 사람은 뭐라고 하는가?|변비 환자
애국가에 나오는 산 3개?|백두산, 남산, 화려강산
1일 300원씩 곗돈을 부었는데 1년이면 1억이 되는 계는?|황당무계
개똥도 약에 쓰려면?|식약청의 허가
두부 장수는 누구를 위하여 종을 울리나?|처와 자식
옷을 가장 많이 해 입는 나라는?|가봉
돌보다 더 강한 물질은?|머리카락
껌의 재료는?|고양이 뇌(검은 고양이 뇌로)
매가 독수리 때렸다 독수리가 엄마에게 일렀다 뭐라고?|매가패쓰
은하 철도는 왜 999인가?|비둘기호이기 때문
지구가 계속 도는 원천은?|석유가 있기 때문
갑돌이와 갑순이가 결혼을 못한 이유?|동성동본
사람들이 가장 싫어하는 색은?|질색
발 사이즈가 2㎞나 되는 발은?|오리발
국민교육헌장은 모두 몇 글자?|6자
사람을 튀어나오게 하는 기계는?|초인종
물에 빠지면 제일 처음 만나는 적은?|허우적
가면을 벗으면 얼굴이 두 개인 것은?|콩나물
횟집 주인이 제일 싫어하는 사람은?|회피하는 사람
"""쥐가 어디 갔지?""를 3자로?"|지오디
큰 것은 엄마가 갖고 작은 것은 내가 갖는 것은?|세뱃돈
들었는데도 팔은 안 무겁고 머리만 무거운 것은?|감기
고래는 포유류 개구리는 파충류, 그럼 오징어는?|안주류
"""네 코는 어려 보인다""를 영어로?"|니코틴
제일 비싼 닭?|코스닥
성질 급해 단번에 죽는 닭?|꼴까닭
정신 줄 놓는 닭?|헷가닥
가장 섹시한 암탉?|홀딱
집안 망쳐 먹는 닭?|쫄딱
시골 사는 닭?|촌딱
가장 날씬한 닭?|한가닥
가장 천한 닭?|밑바닥
이런 닭 저런 닭 중 최고의 닭?|토닥토닥
싱싱한 닭?|파닥파닥
심장병 걸린 닭?|콩닭콩닭
임금님의 성은?|납(상감마마 납씨요)
불쌍한 사람들이 타고 다니는 자동차는?|기아자동차
살면서 가장 피해야 할 개 2마리는?|편견과 선입견
안개는 왜 안개일까?|안게니까
김밥과 햄버거가 달리기하면 누가 이길까?|햄버거(패스트푸드)
전원이 나갔을 땐?|전원 집합시킨다.
기성용과 이청용을 이어주는 용은?|이 을용
섹시한 소금은?|요염
"""나는 돈이나 벌러 간다""를 영어로?"|아이고 머니나
조각칼로 나무를 파면 어떻게 될까?|홈페이지
엄마가 기분 조으면 아빠한테 하고 기분 나쁘면 혼자서도 하는 것은?|팔짱
알파벳 문자 중에서 가장 예쁜 알파벳은?|E(FG 예쁘지)
완벽하게 멋진 나무가 듣는 말|와~나무랄 데가 없네
재벌들은 로또를 안 사는 이유는?|인생역전될까 봐
우리 엄마를 영어로?|마이애미
소매치기보다 더한 놈?|도매치기
신이 다니는 길은?|갓길
고민에 쌓인 말?|딜래馬
스파게티에 소금을 넣으면?|짜파게티
가장 날씬했던 왕비는?|갈비
가장 사치스러웠던 왕비는?|낭비
길 잘 찾는 왕비는?|네비
웃지도 않고 무표정으로 사는 왕비는?|좀비
가수 비가 흘리는 땀은?|비之땀
씁쓸한 깨는?|꿈 깨
교회 집사가 술을 사랑하는 이유는?|술이 원수라서
열받지 않는 법은?|아홉이나 여덟만 받는다.
"""辛 라면""을 사오정은 어찌 읽을까?"|푸라면
남편이 철들지 않은 이유?|몸이 무거워져서
"""Thank you""는 고맙습니다, ""thanks""는?"|고맙습
지각하는 이유?|학교 앞 천천히 팻말 탓
전신사진 예쁘게 찍는 법은?|전신이 예쁘면 된다
꼬리가 두 개인 말?|거짓말
사오정 나라의 바다 이름은?|다시 말해
김을 구우면 안 되는 이유는?|기미주근깨
따뜻하게 감싸주면 절대 안 되는 사람?|눈사람
있을 수도 없을 수도 있는 섬은?|아마도
30살이 미안한 짓을 했을 때 하는 말은?|아임써리
I love you long의 뜻은?|나는 당신을 사랑하지롱
선배와 꼰대 차이는?|선배는 묻는 것만, 꼰대는 묻지 않은 것까지 대답
축구선수가 골 넣고 받는 돈은?|세레머니
건배를 영어로 원샷, 불어로는?|마셔 불어
아들을 때린 후 아버지와의 관계는 어떻게 되는가?|친아들
아저씨들이 좋아하는 반찬은?|짱아찌
오징어를 땅에 묻으면?|오징어무침
길에 넘어지는 걸 영어로 하면?|다운로드
걸어가면 울지 않은 사람이 없다는 그 길은?|다운로드
이훈을 황정음이 밀치면?|훈민정음
겨울왕국3가 안 나오는 이유는?|이제 안나 왕
안나가 엘사보다 노래를 잘 부르게 되는 이유는?|안나가왕이기 때문
명탐정 코난에 미란이가 어른이 되면?|미란다 커
맨체스터 유나이티드를 좋아하는 식물은?|맹그로브
세상에서 가장 큰 다이아몬드는?|야구장
전복 사고 이후에 가장 먼저 할 일은?|흐르는 물에 전복을 깨끗이 씻는다
변호사가 더러운 이유?|남들 변 호~ 해줘야 해서
수석 모으는 사람들이 좋아하는 가수 유형은?|아이돌
12356789를 4자로?|사도세자
가까우면서도 서로 못 보는 것은?|눈
가만히 입 다물고 있으라는 글자는?|말마(馬)
가지도 없어도 잘 자라는 것은?|머리털
깎으면 깎을수록 길어지는 것은?|연필심
거꾸로 자라는 것은?|고드름
거지가 새빨간 말을 타고 가는 것은?|새빨간 거짓말
거짓말을 안 하면 안 되는 절기는?|만우절
검둥이와 흰둥이가 싸우는 것은?|바둑
겨울에는 옷 벗고 여름에는 옷 입는 것은?|나무
고개 숙이고 눈물 흘리는 것은?|수도꼭지
고개 넘어 낭떠러지는?|목구멍
고양이를 무서워하지 않는 쥐는?|박쥐
꼴등을 추월하면 몇 등?|꼴등은 추월할 수 없음
공중에 그물만 쳐놓고 놀고, 먹는 것은?|거미
구석에 있으면서 세상구경을 다 하는 것은?|우표
굴리면 굴릴수록 커지는 것은?|눈덩이
개 조심이라고 써 붙인 집을 가장 좋아하는 사람은?|개 도둑
말에게 뿔이 나면?|발
계시냐고 물어보면서 안 계시길 바라는 것은?|화장실
기뻐도 나오고 슬퍼도 나오고 매워도 나오는 것은?|눈물
기차 철로가 붙어 있다가 기차가 지나가면 벌어지는 것은?|지퍼
긴 막대기 있는데 이것을 손대지 않고 짧게 만들려면?|더 긴 것을 옆에 놓는다
길에서 인기 많은 성은?|택씨
김은 김인데 하얀 김은?|앙드레김
날마다 서로 박치기해야 굶어죽지 않는 것은?|치아
날개가 없어도 날 수 있는 것은?|연기
눈물의 씨앗은 무엇입니까?|눈꼽
눈의 흰자와 검은 자가 바뀐 사람은?|짱구
눈과 코를 때리는 것을 4자로?|눈치코치
눈이 녹으면 뭐가 될까?|눈물
눈 하나로 일하는 것은?|바늘
늙을수록 젊어 보이는 것은?|사진
다리 중 아무도 보지 못한 다리는?|헛다리
다섯은 당기고 다섯은 들어가는 것은?|장갑
땅하고 하늘하고 줄다리기하는 것은?|연날리기
더러워질 때마다 얻어맞는 것은?|빨래
더우면 길어지고 추우면 짧아지는 것은?|온도계
더울 때는 옷을 껴입고 추울 때는 옷을 벗는 것은?|나무
달리기에 목숨 건 도시는?|경주시
소가 이기면?|우승
돈 주고 사서 깨뜨리지 않으면 못쓰는 것은?|계란
더운 날에만 운동하는 것은?|부채, 선풍기
더울 때는 짧고 추울 때는 긴 것은?|여름과 겨울
똑같은데 날마다 키를 재보는 것은?|젓가락
라면 먹고 이를 쑤셔서 이 사이를 벌려 놓은 것을 3자로?|라이벌
맞아도 죽지는 않고 기분만 나빠지는 총은?|눈총
많아지기만 할 뿐 적어지지 않는 것은?|나이
많이 먹어도 배 안 부르고 화만 나는 것은?|욕
머리에 보약을 이고 다니는 것은?|사슴
먹고살기 위하여 누구나 한 종류 씩 배워야 하는 술은?|기술
먹고살기 위해 하는 내기?|모내기
몸 버리고 결국 짓밟히는 것은?|담배꽁초
물을 먹으면 죽고 바람을 먹으면 사는 것은?|산불
매일 눈, 코, 입을 손가락으로 찔리는 것은?|볼링공
미국의 자유의 여신상은 왜 서 있을까?|의자가 없으니까
밤에 불도 안 켜고 사람을 태우는데도 경찰이 막지 않는 차는?|유모차
방은 방인데 들어가기 싫은 방은?|감방
복숭아가 결혼을 하면?|웨딩피치
사람을 물에 넣었다가 말려서 돈 버는 사람은?|사진사
사람의 몸에서도 만들어질 수 있는 기름은?|개기름
사회가 망하면?|사회가 부도
소금 함량이 가장 높은 라면은?|짜라짜짜짜짜짜짜짜~파게티
씨름선수들이 병에 걸리면?|씨름씨름 앓음
알파벳 L이 없는 나라는?|이상한 나라의 L less
전 부칠 때 쓰는 소금을 보관하는 통은?|전 염 병
바이러스로부터 안전한 도시는?|음성
세상에서 그리스 로마 신화를 가장 좋아하는 사람은?|신천지 교도
주식을 몰래 사면?|시크릿 주주
감염 질환에 걸렸을 때 검사 결과를 보고 화나서 하는 말은?|확! 진자
엄마가 몸살 걸리면?|엄살
노인 2명이 만나는데 걸리는 시간은?|이틀
지구 곳곳에 불교가 많은 이유는?|중력
톱이 유명해지면?|톱스타
지옥견 케르베로스를 3자로?|헤드셋
개밥을 먹으러 강아지 여러 마리가 달려가는 것은?|개회식
세상에서 가장 옷을 잘 입는 왕은?|마네킹
소가 걱정하면?|우려
정품유저들이 가장 싫어하는 과자는?|크래커
뽀로로의 에디는 어디서 살까?|에디터
탈모인들이 여는 행사는?|공모전
갈치에게 물건을 빼앗기는 물고기는?|고래
오삼불고기를 영어로 하면?|컴온 불고기
줄무늬가 알파벳 L처럼 생긴 호랑이는?|앨범
세상에서 가장 피곤한 새는?|밤새
소와 용이 한꺼번에 오른쪽으로 돌면?|소용돌이
용이 깜짝 놀라면?|띠용
스턴이 이기면?|윈스턴
북한의 조폭은?|어깨동무
개와 말의 귀를 보면?|귀마개
엄청 큰 상은?|세상
금이 울면?|엉금
"""당신은 시골에서 삽니다""를 영어로?"|유인촌
부드러운 것이 해로운 이유는?|유해
무가 4개 있는 방은?|사무실
트림했다고 자백을 했다면?|나트륨
하늘에 있는 물의 이름은?|제우스
세계에서 가장 잔인한 연맹은?|피파
암소를 다른 말로?|소련
지구는 어디에 있을까?|숲에 있음
상어가 자기소개를 하면?|좋습니다.
할아버지도 꼽추이고, 아버지도 꼽추이고 나도 꼽추이다|새우
말과 소가 같이 있으면?|말랑카우
신라면 다음으로 나온 라면은?|통일신라면
친구 따라가는 역은?|강남
가장 싸게 지은 역은?|일원
역 3개가 함께 있는 역은?|역삼
불장난하다 사고 친 역은?|방화
길 잃어버린 아이들이 모여 있는 역은?|미아
새벽부터 빈 물통 든 사람들이 몰려드는 역은?|약수
역내 화장실에 항상 뜨거운 물이 나오는 역은?|온수
학교 가기 싫어하는 애들이 가장 좋아하는 역은?|방학
표 검사뿐 아니라 짐까지 속속들이 검사하는 역은?|수색
구겨졌던 옷이 내릴 때 보니 말끔히 펴져 있는 역은?|대림
이산가족의 꿈을 이룬 역은?|상봉
젖먹이 아기들이 가장 좋아하는 역은?|수유
숙녀가 좋아하는 레이디 퍼스트 역은?|신사
영화감독들이 초초하게 기다리는 역은?|개봉
장사하는 사람들이 좋아하는 역은?|이문
23,5도 기울어져 있는 역은?|지축
타고 있으면 다리가 저리는 역은?|오금
차마 눈 뜨고 볼 수 없는 장면은?|꿈
차마 눈뜨고 볼 수 없는 여자는?|꿈속의 여자
창피한 것도 모르고 체면도 없는 사람의 나이는?|넉살
초가 많이 모이면 무엇이 될까?|분
편식이 아무리 심한 사람도 어쩔 수 없이 먹는 것은?|나이
하늘에 달이 없으면?|날 샜다
하루에 세 번 이상 삽질하는 것은?|숟가락
한 번 웃으면 영원히 웃는 것은?|사진
러시아를 좋아하는 사람을 4자로?|호로자식
'호프'는 맥주를 만들고 '엿기름'으로는 감주를 만든다|물주
사형시키려는 개는?|목베개
선생님이 물을 마시면?|샘물
63빌딩에서 돈을 떨어뜨리면?|아깝다.
표가 고백을 했는데 안 받아주면?|차인표
벌이 2족 보행을 하면?|서라벌
원숭이를 불에 구우면?|구운몽
누워도 보이지 않는 천장은?|입천장
뜨거운 면발은?|화면
짜요짜요가 제일 싫어하는 말은?|날짜
묘하게 생긴 동물은?|고양이
화상 환자가 제일 많은 나라는?|탄자니아
썸 타는 사람을 영어로 하면?|Summ er
오리가 하는 말은?|덕담
세대 차이를 2자로?|"귀신(구|신)"
겨울왕국이 뒤집히면?|논ㅓ웅롱ㅑㄴ
잘못한 사람이 마시는 술은?|과실주
세상에서 가장 쓸데없는 이론은?|내가알기론
소와 씨름이 가능한 사람은?|소매치기
두 나라의 국어로 인사하는 소는?|안녕하이소
급행열차가 급한 이유는?|급행
버스를 타기 전에 기를 모으지 않고 타면 들을 수 있는 소리는?|자네 기 부족합니다
사자마자 후회하는 의자는?|팔걸 이 의자
비행기를 비난하면?|항공모함
벙어리는 경마장에 못 들어가는 이유는?|말이 안 나오기 때문
축구선수들이 자주 가는 카페는?|공차
노래방에서 노래를 잘하면 탬버린 쳐주는 이유는?|탬버린 소리 (칭 찬 칭 찬)
아기 오리 5마리를 4자로?|오덕 새끼
용수철을 차갑게 하면?|스프링 쿨러
빈센트 반 고흐를 만나는 방법은?|Go home(고흐옴)
보아의 남자친구는?|보아하니
은행에 경찰들이 많은 이유는?|'집회'가 너무 많아서
감기 걸린 사람이 쓰는 권총은?|글록 글록
우리나라에서 가장 비싸게 팔리는 참치의 가격은?|사조참치
수상한 사람이 많은 곳은?|시상식
하느님이 시를 쓰자 공룡은 멸종한 이유는?|공룡을 뒤집어서 운율을 만들었기 때문
알리스타가 제일 두려워하는 챔프는?|나르(누구도 나르 막지못해)
피오라가 나미에게 평타 한대 맞고 죽은 이유는?|피5라
헤카림끼리 싸우면?|말파이트
케이틀린의 반대말은?|케이맞은
진이 라인전을 이기면?|이긴
세트가 반으로 쪼개져서 킬 당하면?|단품
치아가 가장 좋은 챔프는?|마스터이
에코가 우물로 귀환하면?|에코백
리신이 늙으면?|리구
적 팀 모르가나가 우물로 귀환한 것을 확인하기 위해 묻는 질문은?|모르간나
조이가 초콜릿을 먹으면?|킨더조이
브랜드가 죽으면?|노브랜드
자동차를 다른 곳으로 옮기면?|카이사
미스 포츈이 과녁을 맞히면?|히트 포츈
판테온이 죽으면?|판테off
잔나가 잠에서 깨면?|일어난나
가장 무서운 막대기는?|피들스틱
아리가 노래를 부르면?|아리송해
다리우스의 가장 큰 문제점은?|다리읎으
아리가 아프면?|병아리
아리가 두 번 죽으면?|아리가또 데스네
알리스타가 죽으면?|소 데스네
'블라디님 로밍 좀요'를 3자로?|피오라
롤 최연소 챔프는?|자르반 4세
라이즈가 놀라면?|서프라이즈
탈리야가 미러전 하는 장소는?|이탈리아
아무무를 상점에서 구입하면?|사 미라
차 안에서 먹는 식사는?|카밀
리신이 갱와서 음파를 못 맞추고 한 말은?|미스테이쿠
브랜드랑 신드라랑 공통점은?|같은 브랜드 신발 신드라
이렐리아가 키우는 애완동물은?|거미(제 검이 당신의 명을 기다리고 있습니다!)
브라움의 주포지션은?|미드(브라움만 미드라구!)
마오카이(또는 트리스타나)가 플을 쓰고 킬을 하면?|트리플킬
나서스가 아침에 자고 일어나서 하는 말?|나섯으
카서스가 자동차 브레이크를 밟으며 하는 말?|카섯으
베인이 야스오나 요네에게 피해를 입으면?|칼에 베인
애니가 그라가스 궁에 맞으면?|애니비아
리신이 정글에서 헤매다가 우디르를 만나서 한 말은?|우디르 가야하오
리신이 생일선물로 사온 것은?|케 이크
마스터 이가 찬 시계는?|잘보고배우시게
신드라가 입대를 하면?|이병신드라
다리우스는 상대를 평타 몇방만에 죽일까?|단두대
속옷이 울면?|브라움
바루스의 스킬이 발동 시간이 없는 이유는?|바로쓰라
베인이 재벌이면?|리치베인
블츠 : 베인을 거꾸로 하면?|인베? 블츠 : ㅇㅋ 가죠
소환사의 협곡에서 가장 무서운 감은?|5픽 미드감
소환사의 협곡에서 가장 무서운 짐은?|던짐
나무가 불타면?|트리스 타나
자이라가 궁극기를 쓰며 찾는 챔프는?|피어라!
이름으로 영어교육하는 챔프는?|나=미
사일러스가 궁극기로 티버 인형 소환을 뺏어가면 하는 말?|니가 애니?
문익점이 한국에 목화씨를 들고 오면서 한 말은?|내 솜씨를 제대로 보여줄 시간이군!
브랜드가 자기소개로 말하는 챔프는?|아이 번
아군 아이번, 마오카이 때문에 게임을 졌을 때 내가 골랐던 챔프는 뭐였을까?|트린 다 미워
픽 했을 때 항상 실망하는 챔프는?|오리? 아 놔!
다 지던 게임을 우리 편 이즈가 캐리해서 이겼을 때 한 말은?|is real?
미드에서 가장 손타는 챔프는?|브랜드
이즈리얼이 사는 곳은?|비전2동
협곡에 헤카림이 없으면?|노말게임
가수 '길'을 아는 챔프는?|알리스타(내가 길을 알아!)
엄마랑 아들이랑 리신을 같이 하면?|모자이크
아리가 전화를 받으면?|착신아리
K/DA 스킨 아칼리가 아이돌이 되면?|칼리스타
말자하와 대화를 하다가 막히면 하는 말은?|말을 말자,, 하,,
리신은 수영을 어떻게 할까?|음파음파
페이커의 연봉은?|Pay커
아우렐리온 솔의 형 이름은?|형님렐리온 파
레넥톤 형은 나서스, 레넥톤 동생은?|레넥킬로그램
JYP를 가장 싫어하는 챔프는? |가렌(진영을 무너뜨려라!)
리신이 싫어하는 노래는?|동요(동요하지 마시오!)
Flame의 티어는?|플레임
"상점에서 무를 사려고 해서 ""어떤 무 드려요?""라고 상인이 물으니까 한 말은?"|아무무요
브라움을 처치하면?|브라움직임
아지르가 트롤 짓할 때 우리 편이 하는 말은?|아,, 지를하네
00000?|오공
논타겟 스킬을 피하는 법은?|우디르 피하냐면, 요릭 피하면 됨
데마시아의 왕인 자르반 4세의 부인은?|퀸
아이번이랑 마오카이가 불에 타면?|트리스타나
헤카림 초반 스킬을 뭘로 찍어야 될지 헷갈릴 때 하는 말은?|헤카림
쉬바나가 열 받았을 때 하는 말은?|쉬바 나 빡쳤다
잘못한 사람이 오히려 자기가 화내는 것을 사자성어로?|정글차이
가장 베팅을 많이 하는 챔프는?|문 도박사
범죄와의 전쟁에서 최민식이 나온 대학이랑 학과는?|오대 최씹니과
백설공주가 나온 대학이랑 학과는?|공주대 독사과
김태희를 오페라로 만들면?|나 비 부인
의사들이 쓰는 컴퓨터는?|닥터피쉬
히틀러가 반찬투정하며 하는 말은?|파 시즘!! 나 치즈~~
아버지가 울 때 내는 소리는?|부엉부엉
노인들이 편협해질 수밖에 없는 이유?|노 인정 다녀서
0으로 0을 나눌 수 있나?|응
기침을 심하게 많이 하면?|오버쿨럭
맥도날드의 반대말은?|윈도우 힐러리
가벼운 뒷담화를 3자로?|경험담
선비들이 신보다 위대한 이유는?|갓을 쓰고 다녀서
가장 급하게 가는 교회는?|응급처치
엔진으로 귀걸이를 만들면?|엔지니어링
아내가 찰과상을 입으면?|일부다처
문과에서 이과로 전향한 사람이 다시 문과로 가면?|‘수포’로 돌아간 일
가장 깨끗한 독재 정권은?|손소독제
불상의 무게는?|석g(구람) (석굴암)
루이 14세가 몹시 슬프면?|루이비통
사장이 아르바이트 지원자를 면접에서 탈락시키고 문자 안주는 이유는?|내 알바 아니라서
소를 소금에 절이면?|염소
일부러 물건을 떨어뜨리면?|자의로 드롭
게를 냉동실에 넣으면?|게 으름
우리나라에 외계인이 방문했던 관광지는?|UFO늪 (우포늪)
옆집에 유대인이 살고 있으면?|jew near neighbor (쥬니어네이버)
구토한 양은 얼마?|5 Byte
이슬람교에서 바라보는 관점은?|알라뷰
차이나타운의 반대말은?|똑같아빌리지
화를 제일 잘 내는 숫자는?|에잇
코로나가 없어지면?|코로나 음성
스님이 되는 병은?|중이염
라면을 영어?|if
등산을 할 때마다 받는 등산 장려금을 4자로?|산 와 머니
자소서를 영어로?|Sleep
기구가 다치면?|피난기구
택시들이 빨가벗고 다니면?|택시들아 입어 (택시드라이버)
홍진호가 똥을 싸면?|이등변
이집트 사람이 일하러 갈 때 하는 말은?|나일강
돌을 녹이면?|에콰도르
겨울에 두 번 연속으로 나는 전쟁은?|손이 시려워 발이 시려워
나이 들어 죽은 시체들을 전시하는 박물관은?|자연사 박물관
체 게바라가 혁명 일으키기 전 한 말은?|체계봐라
다친 아이를 찾는 방법은?|아이피 추적
양 2마리가 죽으면?|고양이
쿠를 큐로 잘못 타이핑하면?|오타쿠
킬러들이 밥 사라는 말을 싫어하는 이유는?|자꾸 쏘라고 해서
119가 파산한 이유는?|사람들이 9조 요청해서
노비 3명과 왕 하나가 싸우면?|세종대왕
모든 사람들이 다 같은 벨트를 매면?|가터벨트
발만 빛나는 사람은?|발이 스타
앞뒤가 똑같은 종교는?|개신교(dog god 교)
무전 취식하는 사람이 쓰는 일기는?|안네의 일기
세상에서 제일 멋진 느낌은?|간지러움
왕 위에 누우면?|라이 온 킹
제일 약한 숫자는?|다 짐 6 (다짐육)
제일 쉬운 숫자는?|2지
105동에 사는데 위에 식물이 자라면?|오동나무
매가 날아다니는 친구 9명을 불렀다|열매
아플 때 땀이 나는 이유는?|Sick=땀 (식은땀)
최불암이 제일 좋아하는 색은?|최Brown
광고 촬영은 안하는 가수는?|에드 시런
탁구하다가 기침이 나오면?|핑크퐁
지식이 많은 말이 놀림당할 때 하는 말은?|Knowledge마
빗살무늬토기가 비싼 이유는?|비쌀 무늬 토기
김태희와 비가 이혼하면?|희 비가 엇갈림
소인지 확인 후에 통과할 수 있게 하는 장소에서 하는 말은?|소시오?패쓰~
간디가 폭력적으로 변하면?|마함뜨자 간디
맥주 맛이 강한 빵은?|카스테라
스님들이 가장 좋아하는 숫자는?|5(열반)
뼈에 총을 맞으면?|골탕
버건디보다 더 붉은색은?|시뻘건디
소가 방심하면?|소금물(방심)
위층에 러시아 사람이 살면?|위스키
배 장수가 전기차를 싫어하는 이유는?|배떠리가 필요해서
김태희가 혼자 보는 것은?|영화(무비)
배두나가 살찌면?|배두나와
러시아인 간첩의 이름은?|수상스키
설탕이 헬스를 열심히 하면 생기는 것은?|당근
지우개는 무슨 맛?|쓰면서 닳아
석유를 시추하면서 하는 외치는 말은?|원유
먹다가 눈 감으면 총 맞는 음식은?|감자 탕
에이스의 반대말은?|애없으
오징어가 못생긴 이유는?|무척추한동물
군인이 낚시를 잘하는 이유는?|다나까
소유진이 말을 안 들으면?|패브리쥬
시험을 가장 잘 보는 동물은?|영양(만점이기 때문)
매한테 물리면?|매가바이트
안무를 거꾸로 춘 댄서의 심경은?|무안하다
일본에 있는 자판기는?|Japan기
순살치킨이 버릇이 없는 이유는?|무근본이라서
아이스크림이 가수가 될 수 없는 이유는?|녹음 안되니까
"""어린이가 돈을 밝힌다""를 영어로?"|아이 돈 케어
숲에 사는 인어가 쓰는 말은?|수페인어
용 두 마리가 도를 닦고 있으면?|도룡용
정전일 때 사용하는 장비는?|무전기
우사인 볼트의 아내의 이름은?|우사인 너트
역사상 가장 허약했던 예술가는?|에공 쉴래
프랑스인 형사가 심문하면서 하는 말은?|불어
배기가스가 더 이상 나오지 않으면?|뚝배기
낙타의 울음소리는?|혹혹혹
나무가 싫어하는 음료는?|Baverage
공장을 때리면?|공장도 가격
아버지 내시경 검사를 4자로?|부장검사
아버지가 시각 장애인이면?|부장님
심청이가 인당수에 빠진 이유는?|어 머니가 없어서
말론 브란도가 싼 똥은?|대부분
롤에서 레드팀을 한국말로 하면?|홍 진영
세상에서 가장 많이 놀았던 가수는?|존 레논
미군이 나치랑 싸웠던 이유는?|나 치니까
수학자가 웃는 소리는?|키하학
야구 선수가 자신의 치아를 잡으면서 하는 말은?|나 이s catch
경상도에서 술값을 가장 많이 내는 직업은?|마술사
엄마가 바에서 일하면?|모바일
학생들이 학교를 가장 신뢰하는 시기는?|믿을 스쿨
지구가 힘든 일을 하고 나서 하는 말은?|힘들 어쓰
명문학교를 영어로?|스쿨존
총이 깔깔 웃으면?|건빵
총이 축하의 노래를 부르면?|건축가
창의성 반대말은?|방패의성
매일 암기하는 바이러스는?|멜웨어
꽃 두 송이를 때리면?|화투치다
노크를 하고 들어간 면접생이 합격한 이유는?|똑똑했으니까
"""형에게 물고기를 구입하자""라는 말을 4자로?"|사자성어
"""그릇 삽니다""를 3자로?"|사용기
부침개가 놓일 위치를 4자로?|전갈자리
가장 친절한 물은?|마중물
말이 자기를 소개하면?|마당
"""왜 웃어""를 영어로?"|와이키키
"""너는 내 것이야""를 영어로?"|마이너
"""딸아! 잘못 적었잖아!""를 4자로?"|따라오기
모든 차가 동쪽으로 향하여 있는 대학은?|카이스트
머리를 빡빡 깎은 스님이 떠나가면?|민중가요
남의 밭에서 몰래 캐다가 들키면?|캐이크
레드카드를 다른 말로?|홍준표
돈을 남에게 준 적이 없는 거지에게 하는 말은?|돈조반니
때밀이에게 몸을 뒤집으며 하는 말은?|주마등
야구 농구 탁구 골프 테니스 vs 축구?|노발대발
갈 때마다 TV에 무한도전하고 있으면?|가면 무도회
재직 중에 똥을 제일 많이 눈 사람은?|임기응변의 달인
성형하면 걸리지 않는 병은?|천연두
도청 임무를 수행하고 있는 사람이 잘 생기는 피부병은?|여드름
하루에 담배를 반갑까지 피울 수 있는 동물은?|반갑소
인신매매단이 범죄에 이용하는 차는?|인삼차
열기 쉬운 자물쇠는?|일단락
서두르며 급하게 추는 춤은?|허리춤
이등병한테도 밟히는 병장은?|연병장
나쁜 점괘가 나왔을 때 뭐라고 하나?|시발점
소를 살 때 내는 세금은?|소득세
야만인들 사는 산봉우리는?|미개봉
래프팅 보트가 두 조각이 나면?|동강동강
휠체어 탄 환자가 제일 기다리는 날은?|설날
전깃줄이 한숨을 쉬면?|휴전선
여자를 엄청 좋아하는 스님은?|탐색중
태양이 눈 깔고 고개를 숙이는 곳은?|해인사
가난한 물고기가 한숨을 쉬면?|푸어
너 지금 어디 있냐?|오대양
비늘 관리를 잘하는 물고기는?|스킨케어
새끼리 서로 성씨가 같으면?|세종시
이틀 후면 노는 돈이 생긴다를 다른 말로?|모래 한가마니
사업이 망한 오리는?|부도덕
똥을 싸다 끊는 명령어는?|컨트롤 에스
앞쪽으로 흐르는 물이 더러우면?|압구정물
표면이 매끄러운 알은?|스무 사알
옷감만 몇 번 태웠나?|천만번
전할 말이 없는 사람은?|공지영
고스톱에서 피로 이기면?|피날레
죽음과 삶을 공부하는 대학생은?|사대생
새 소식에 귀를 기울이면?|뉴스와이어
"""없는 아이디입니다""라고 로그인 창에 뜨면?"|아이디어
소화시킬 음식이 없어 빈둥빈둥 놀고 있는 위장을 다른 말로?|한가위
쥐를 때리면?|마우스 팻
꽃가게가 뭐 하는 곳인지 잘 아는 꽃은?|나팔꽃
무장한 야수를 6자로?|무기로비스트
프랑스 사람이 화장실 변기를 뚫을 때 일어나는 일은?|불똥튀기
바위에게 반말하면?|야바위
개를 강제로 교접시키는 것을 3자로?|부침개
헬스장 트레이너가 가장 좋아하는 근육은?|칼퇴근
대학을 빨리 결정할 수 있는 지름길은?|수시로
한문철을 1자로?|볼록할 철
헐크가 변신할 때 옷이 찢어지는 이유는?|복장이 터져서
BTS에서 가성을 가장 잘 내는 가수는?|뷔(가성뷔가 좋아서)
"""짐승 같은 놈이랑 대화 안 해""라는 제목을 가진 영어 팝송은?"|위 돈 톡 애니몰
책이 드문드문 있는 곳은?|북한산
시체가 커지면?|미라클
에베레스트산 정상이 추운 이유는?|더 위가 없어서
